blinks
1617640565.7959146,3
1617640565.8979156,2
1617640571.7052643,3
1617640571.8632593,2
1617640576.1742287,3
1617640576.2762341,2
1617640580.4749327,3
1617640580.5769331,2
1617640583.6957989,3
1617640583.7968755,2
1617640586.8324957,3
1617640586.9344974,2
1617640588.7118056,3
1617640588.8708086,2
1617640593.4866533,3
1617640593.5876667,2
1617640596.5257213,3
1617640596.6267214,2
1617640598.8857331,3
1617640598.9868567,2
1617640601.4912126,3
1617640606.1719084,3
1617640612.4628527,3
1617640612.5658295,2
1617640615.3346617,3
1617640615.4926305,2
